OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
9801,WG162-02,文光路162巷(龍行新城),文光路168巷,貿商街,1,47,16.2,8.2,37.8,4,1.3,2.7,2.7,連鎖磚,151.2,0,1,0,0,4,2,0,7,1,0,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1408233600000,1441629840000,16000A,,,,156.97443314154,86.486785006964
9802,WG162-01,文光路162巷(龍行新城),文光路168巷,貿商街,2,47,16.2,8.2,37.5,4,1.3,2.7,2.7,高壓混凝土磚,150,0,1,0,0,0,2,0,5,N,0,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1408233600000,1441629840000,16000A,,,,127.89079317694,71.946007254136
9803,WG168-02,文光路168巷(龍行新城),文光路162巷,三多路,1,117.4,11.5,7.5,107.1,4,1.3,2.7,2.7,高壓混凝土磚,428.4,0,4,0,0,0,3,0,9,2,3,無,否,否,否,2.7,0,,,0,1,1,3,澎湖縣,馬公市,1408233600000,1441629840000,16000A,,,,418.98957624733,220.5967499359
9804,MSS-03,貿商街(龍行新城),光榮街61巷,三多路,1,193.7,16.9,8.2,146.5,4,2.4,1.6,1.6,連鎖磚,586,0.25,10,0,0,0,10,5,15,2,8,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1408233600000,1441629840000,16000A,,,,679.06028096957,347.66063472703
9805,MKT-01,馬公國中步道,永福街,文學路,3,638.05,3.2,0,614.6,3.2,1,2.2,2.2,高壓混凝土磚,1966.72,7.05,0,2,0,0,6,1,4,2,1,無,否,否,否,0,0,,,0,1,1,5,澎湖縣,馬公市,1408060800000,1441629780000,16000A,,,,841.2844620604,558.64909435348
9806,XC-04,新村路,中華路,光復路,1,129.4,15.4,11.1,111.8,2.3,0,2.3,2.3,連鎖磚,257.14,0,1,0,0,0,0,15,0,4,2,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1408579200000,1441629720000,16000A,,,,257.35752613019,228.59489687234
9807,XC-03,新村路,中華路,光復路,2,129.4,15.4,11.1,110.9,2,1,1,1,連鎖磚,221.8,0.24,5,0,0,0,0,28,1,2,0,店家遮板截斷行人通道,否,否,否,0,0,,,0,1,2,3,澎湖縣,馬公市,1408579200000,1441629720000,16000A,,,,226.12011845734,217.89189388676
9808,XC-05,新村路,光復路,民遠路,2,74.7,15.7,12.6,67.7,3.1,0,3.1,3.1,連鎖磚,209.87,0,3,0,0,0,0,14,0,1,1,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1408579200000,1441629720000,16000A,,,,198.06654572648,132.2531263473
9809,MQ-03,民權路,惠民路,仁愛路,2,87.8,11.5,7.2,77.2,2,0.7,1.3,1.3,高壓混凝土磚,154.4,8.6,4,1,0,0,0,3,8,2,2,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1406678400000,1441629720000,16000A,,,,143.12304542663,147.20623691291
9810,MQ-07,民權路,光明路,中興路,2,60.5,11.6,7.1,49.9,2,0.7,1.3,1.3,高壓混凝土磚,99.8,3.4,2,0,0,0,0,2,4,2,0,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1406678400000,1441629720000,16000A,,,,99.644892338157,104.73025598412
9811,ZS-10,中山路,中正路,重慶街,2,69.3,14.9,14.9,62.2,3,1.1,1.9,1.9,高壓混凝土磚,186.6,17.64,9,4,0,4,1,22,9,2,2,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1406678400000,1441629660000,16000A,,,,405.36145220262,280.44650185259
9812,ZZ-01,中正路,馬公商港,臨海路,2,35.8,33,23,7.7,2.8,0,2.8,2.8,高壓混凝土磚,21.56,0,0,0,0,0,2,0,0,1,0,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1406764800000,1441629720000,16000A,,,,40.19754189391,34.518042868284
9813,ZZ-02,中正路,臨海路,中山路,2,59.5,33,23,31.9,2.8,0,2.8,2.8,高壓混凝土磚,89.32,0,5,1,0,0,1,2,0,2,0,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1406764800000,1441629720000,16000A,,,,174.7470190947,133.6533118567
9814,ZZ-05,中正路,中山路,惠安路,2,51.5,15.7,7.4,45.4,4.1,1.9,2.2,2.2,其他,186.14,63.9,4,0,0,1,0,12,0,2,0,無,否,否,否,0,0,,混石板,0,1,1,1,澎湖縣,馬公市,1406764800000,1441629720000,16000A,,,,127.98606105612,71.567301685734
9815,ZZ-07,中正路,惠安路,惠民路,2,87.7,15.9,7.4,82.4,4.2,1.9,2.3,2.3,其他,346.08,1.69,5,1,0,3,1,13,1,2,0,無,否,否,否,0,0,,混石板,0,1,1,1,澎湖縣,馬公市,1406764800000,1441629720000,16000A,,,,285.10892039556,144.17459819642
9816,ZZ-09,中正路,惠民路,仁愛路,2,90.1,15.1,7.3,82.3,4,1.8,2.2,2.2,其他,329.2,1.44,5,1,0,3,7,21,0,2,2,無,否,否,否,0,0,,混石板,0,1,1,1,澎湖縣,馬公市,1406764800000,1441629720000,16000A,,,,275.93617529364,164.5663373168
9817,XS-01,新生路,中華路,樹德路,2,137.8,11.5,7.3,124.9,2.1,0,2.1,2.1,連鎖磚,262.29,1,1,0,0,0,0,17,2,N,0,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1407715200000,1441629720000,16000A,,,,258.68795371102,254.5727905364
9818,XS-03,新生路,樹德路,新村路,2,152.5,11.1,7,136.5,1.9,0.1,1.8,1.8,連鎖磚,259.35,0,1,0,0,0,0,23,0,1,7,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1407715200000,1441629720000,16000A,,,,237.88475726901,254.20988794712
9819,XS-05,新生路,新村路,北辰路,2,122.8,10.7,7.1,103.7,1.8,1,0.8,0.8,連鎖磚,186.66,2.08,0,0,0,0,0,16,4,2,6,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1407715200000,1441629720000,16000A,,,,171.33810690505,194.27947227936
9820,XS-07,新生路,北辰路,水源路,2,137,10.9,7,108.3,1.9,0.4,1.5,1.5,其他,205.77,0.24,19,1,0,0,0,19,0,2,0,無,否,否,否,0,0,,透水磚,0,1,1,1,澎湖縣,馬公市,1407715200000,1441629720000,16000A,,,,197.14035442836,202.94539777559
9821,ZH-05,中華路,治平路,新村路,2,64.1,14.47,10.7,45.6,1.88,0,1.88,1.88,高壓混凝土磚,85.73,10.5,1,0,0,3,0,8,0,1,2,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1407801600000,1441629720000,16000A,,,,62.796122123805,70.565217380754
9822,ZH-07,中華路,新村路,北辰街,2,130.75,15.3,11.2,113.1,1.2,0,1.2,1.2,連鎖磚,135.72,74.76,8,0,0,17,0,29,0,0,0,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1407801600000,1441629720000,16000A,,,,149.87359282569,228.41040070559
9823,ZH-09,中華路,北辰街,大智街,2,37.9,14.75,11.05,18.45,1.84,0.45,1,1.41,連鎖磚,33.95,0,4,0,0,0,0,6,0,N,0,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1407801600000,1441629720000,16000A,,,,33.363097894706,40.05705178273
9824,ZH-11,中華路,大智街,大仁街,2,96.85,14.69,10.9,82,1.98,0.48,1,1.48,連鎖磚,162.36,0.77,6,2,0,4,0,15,0,N,2,無,否,否,否,0,0,,,0,1,1,1,澎湖縣,馬公市,1407801600000,1441629720000,16000A,,,,151.49173221706,161.82447375986
9825,ZH-15,中華路,大勇街,永和街,2,110.3,14.56,10.8,87.9,1.91,0.6,1.09,1.09,連鎖磚,167.89,0,4,1,0,18,0,20,0,2,8,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1407801600000,1441629720000,16000A,,,,202.14940674904,215.67707478835
9826,ZH-17,中華路,永和路,陽明路,2,262.8,14.86,11,238.15,1.94,1.23,0.27,0.54,高壓混凝土磚,462.01,2.87,6,2,0,24,1,54,0,2,19,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1407801600000,1441629720000,16000A,,,,451.91694309389,470.12016688428
9827,ZH-19,中華路,陽明路,林森路,2,91.55,23.7,20.6,67.6,3.1,1.07,2.03,2.03,高壓混凝土磚,209.56,1.2,4,1,0,0,0,16,0,2,0,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1407801600000,1566581880000,16000A,是,1025500030216011030,2013,182.74106334992,123.72173268395
9828,ZH-21,中華路,林森路,文昌街,2,151.05,19.93,14.6,134.8,2.79,1.3,1.19,1.49,高壓混凝土磚,376.09,2.26,9,1,0,0,0,29,7,4,13,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1407801600000,1566581880000,16000A,是,1025500030216011030,2013,372.44925808863,272.64232210407
9829,ZH-23,中華路,文昌街,朝陽路,2,82.65,19.55,14.1,72.45,2.8,0.58,2.22,2.22,高壓混凝土磚,202.86,0.3,6,0,0,0,0,19,0,2,4,無,否,否,否,0,0,,,0,1,1,3,澎湖縣,馬公市,1407801600000,1566581940000,16000A,是,1025500030216011030,2013,191.08624334541,142.1656509875
