OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
10071,WK_3174,市政路,嘉64,嘉56,1,763.5,20,15,759.7,2.6,1.2,1.4,1.4,高壓混凝土磚,2004.5,100.8,29,0,0,0,0,28,60,8,3,0,否,否,否,0,0,,,0,1,1,7,嘉義縣,太保市,1427846400000,1429747200000,10000A,是,1035500030210011090,2014,6070.2564171455,1407.9904831851
10072,WK_3175,市政路,嘉64,嘉56,2,707.1,20,15,669.5,2.8,1.2,1.6,1.6,高壓混凝土磚,1212.2,85.68,25,0,0,0,0,5,51,6,3,無,否,否,否,0,0,,,0,1,1,7,嘉義縣,太保市,1427846400000,1429488000000,10000A,是,1035500030210011090,2014,7165.3623555652,1426.8683698741
10073,WK_2406,161縣道,無名路,無名路,1,120,6,6,116,4,1,3,3,高壓混凝土磚,514,9024,11,0,2,0,0,0,2,4,0,,否,否,是,3,0,,,0,1,1,5,嘉義縣,布袋鎮,1429228800000,1430417040000,10000A,是,1035500030210031120,2014,925.93605501243,273.36546169807
10095,WK_3176,166縣道,無名路,無名路,2,190,8,8,166,4.5,1.5,3,3,高壓混凝土磚,616,0,13,0,2,0,0,0,0,4,0,0,否,否,是,3,0,,,0,1,1,5,嘉義縣,新港鄉,1428969600000,1430469960000,10000A,,,,647.43554522419,371.434220223
10390,WK_3177,嘉北路,福德路,公園路,1,780,24,17.2,780,3.4,1,6.8,2.4,高壓混凝土磚,,,,,,,,,,N,,,,,,,0,,,,1,,2,嘉義縣,新港鄉,1436486400000,1438940880000,10000A,,,,2204.7858647408,883.14611137395
10391,WK_3159,公園路,台3線,公園路,2,193,6,,185,1.6,0,,1.6,,,,,,,,,,,4,,,,,,,0,,,,,,7,嘉義縣,竹崎鄉,1438905600000,1438941960000,10000A,,,,1002.6209284037,765.90526011169
11371,WK_2757,中山路,中山路32巷,無名路,1,112,18,15,112,3,0,3,3,高壓混凝土磚,336,0,0,1,2,0,0,0,0,4,0,電信箱,否,,是,3,0,,,0,2,1,5,嘉義縣,梅山鄉,1421366400000,1444225440000,10000A,,,,155.02798526725,141.51977054927
21763,,過溝國小前,縣道157,無名路,1,168,18.2,,262,5.5,1.5,,3,,,,,,,,,,,9,,,,,,,,,,,,,,嘉義縣,布袋鎮,,1467385740000,10000A,是,1045500030210031020,2015,851.39307983703,387.4705304814
21917,,蒜新路-蒜頭國小段,蒜新路-蒜頭國小正門,蒜新路-無名路,2,230,16.3,,222.5,3,2,,3,,,,,,,,,,,4,,,,,,,,,,,,,,嘉義縣,六腳鄉,,1467384900000,10000A,是,1045500030210081030,2015,949.65334799459,358.03950024593
21918,,鹿鳴路-鹿滿國小,無名路,無名路,1,12,14.5,12,153.9,2.5,1.5,2.5,2.5,高壓混凝土磚,402.5,,,,,,,,,6,,,,,,,,,,,,,,嘉義縣,竹崎鄉,,1467390240000,10000A,,,,468.74048028165,335.62111219924
21919,,中興路一段-嘉新國中,中山路一段650巷75弄,無名路,1,124.5,15,12,124.5,3,1.5,3,3,高壓混凝土磚,,,,,,,,,,4,,,,,,,,,,,,,,嘉義縣,太保市,,1467390720000,10000A,是,1045500030210011060,2015,504.62858037587,267.97836223016
21920,,中山路一段650巷75弄-嘉新國中,中興路一段,中山路一段586巷,2,100,10.5,,106,3,3,,3,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義縣,太保市,,1467391080000,10000A,是,1045500030210011060,2015,356.68710157939,233.27819472408
21921,,北興路228巷22弄-嘉新國中,中興路一段,北興路228巷22弄,1,148.2,8.5,6,148.2,2.5,1,2.5,2.5,高壓混凝土磚,,,,,,,,,,4,,,,,,,,,,,,,,嘉義縣,太保市,,1467391500000,10000A,是,1045500030210011060,2015,327.77559844659,278.33949251652
8941,WK_2785,民權路,大林火車站東側前道路,新興街,1,284.6,25.44,20.2,222,5.24,1.2,4.04,2.94,高壓混凝土磚,1163.28,83.47,4,0,0,0,6,0,8,14,3,N,,,,0,0,,,0,1,1,7,嘉義縣,大林鎮,1410912000000,1641380040000,10000A,是,1065500030210044070,2017,800.09642803728,467.65079172569
8942,WK_2796,忠孝路,西榮路,忠孝路593巷,2,318,34.9,25.5,313.2,4.7,1.3,3.4,3.4,金錢磚,1472.04,42.12,13,0,0,0,0,73,27,3,2,民車盆栽,,,,0,0,,,1.02,1,4,3,嘉義縣,大林鎮,1410912000000,1641380100000,10000A,否,,,873.17589117854,616.60027623958
8943,WK_2790,忠孝路,民生北路,西榮路,2,329.7,35.3,25.4,256.3,4.9,1.25,3.65,3.65,金錢磚,1255.87,36.25,1,0,0,0,0,69,29,1,0,N,,,,0,0,,有導盲磚,13.62,1,1,7,嘉義縣,大林鎮,1410912000000,1641380100000,10000A,否,,,1022.8379892535,543.03348851538
8944,WK_2804,南華大學汽車專用道,南華路一段,南華大學正門,2,205.9,15.1,10.1,137,2.5,0.7,1.8,0.9,高壓混凝土磚,342.5,65.81,4,1,0,0,0,0,22,N,0,N,,,,0,0,0,,0,1,1,5,嘉義縣,大林鎮,1410998400000,1414540800000,10000A,,,,211.53799349679,291.53892900262
8945,WK_2810,南華路一段,嘉104,南華大學前汽車道,2,188.1,15.4,11,117,2.2,0,2.2,2.2,高壓混凝土磚,257.4,0,2,0,0,0,0,0,0,N,0,雜草阻礙,,,,0,0,0,,0,1,4,7,嘉義縣,大林鎮,1410998400000,1413504000000,10000A,,,,331.28455870302,223.06191746884
