OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
10457,,環市路3段,永貞路二段,鐵路,2,283,50,17,283,8,3,5,5,,2264,,,,,,,,,6,,,,,,,,,,,,,,苗栗縣,竹南鎮,,1439798760000,05000A,是,1025500030205041040,2013,2858.2978081163,765.97231285239
10458,,博愛街,環市路2段,新生路,1,283,15,,283,1.5,0,,1.5,,,,,,,,,,,2,,,,,,,,,,,,,,苗栗縣,竹南鎮,,1439799360000,05000A,是,1035500030205041160,2014,1710.8367008678,438.76318366904
10459,,海口國小,仁德路,保福路,2,500,12,,166,1.9,0.8,,1.1,,,,,,,,,,,5,,,,,,,,,,,,,,苗栗縣,竹南鎮,,1439799840000,05000A,是,1035500030205041160,2014,1898.7907973757,634.03947131845
10460,,開元路,光德路,育才路,2,210,20,20,210,2.5,0,2.5,2.5,水泥鋪面,525,0,,,,,,,,4,,,,,,,,,,,,,,苗栗縣,竹南鎮,,1439805720000,05000A,,,,740.893110403,457.67933611081
21814,,中山路,通霄橋南端,台1線,1,550,30,,200,0,0,,2,,,,,,,,,,,N,,,,,,,,,,,,,,苗栗縣,通霄鎮,,1465406280000,05000A,是,1025500030205031060,2013,688.46787875981,234.32560453338
21815,,中山路1018巷(三山社區),中正路1018巷口,松園活動中心,3,500,8,,200,2,0,,2,,620,,,,,,,,,N,,,,,,,,,,,,,,苗栗縣,苗栗市,,1495096920000,05000A,是,1035500030205011130,2014,244.70408012637,208.34332672375
21816,,忠信路,中山路,忠信路135巷,3,500,12,,200,2,2,,2,,,,,,,,,,,N,,,,,,,,,,,,,,苗栗縣,苑裡鎮,,1465406700000,05000A,,,,375.91701590582,241.9284193361
21828,,正興路,吉祥路,中港溪,3,515,25,,515,6,0,,0,,,,,,,,,,,N,,,,,,,,,,,,,,苗栗縣,頭份鎮,,1465910160000,05000A,,,,2595.9564554154,1307.4751947399
21829,,中興路,虎頭山演藝廳,通霄神社,1,200,2,,200,0,0,,0,,,,,,,,,,,1,,,,,,,,,,,,,,苗栗縣,通霄鎮,,1568631480000,05000A,否,,,241.79743209185,289.8441464602
21830,,中山路,世界路一段,介壽路,3,500,500,,200,2,0,,1.5,,,,,,,,,,,N,,,,,,,,,,,,,,苗栗縣,苑裡鎮,,1572602820000,05000A,否,,,794.65369048867,431.07092608538
21831,,中正路一段,信義路,客庄活動中心,3,200,12,,200,3,0,,1.5,,,,,,,,,,,N,,,,,,,,,,,,,,苗栗縣,苑裡鎮,,1572602820000,05000A,否,,,936.50793326994,609.83871397897
21832,,新興路,世界路,信義路,3,200,15,,200,3,0,,3,,,,,,,,,,,N,,,,,,,,,,,,,,苗栗縣,苑裡鎮,,1465912380000,05000A,,,,,
23432,,苗40線,苗40線與苗37線路口,苗40線往坪頂國小路口,2,140,9.5,7,91,2.5,0,2.5,2.5,高壓混凝土磚,227.5,0,0,0,6,0,0,0,5,6,0,0,否,否,否,,0,,,,2,,,苗栗縣,通霄鎮,,1484747580000,05120A,,,,374.96624371154,274.48168912851
23433,,坪頂國小前道路,坪頂里4鄰49號前路口,坪頂國小校門口,2,81.8,5.7,4,81.8,1.7,0,1.7,1.7,標線型,139.1,0,,,,,,,,N,,,,,,,,,,,1,,,苗栗縣,通霄鎮,,1484748240000,05120A,,,,85.578129666343,175.50344425388
23434,,通霄國中前旗山路一巷,通霄國中校門口,旗山路一巷與中山路四巷路口,2,176.5,11,9.5,176.5,1.5,0,1.5,1.5,標線型,264.8,,,,,,,,,N,,,,,,,,,,,1,,,苗栗縣,通霄鎮,,1484747880000,05120A,,,,383.09936120016,533.2103153749
23435,,新埔國小前海堤道路,新埔國小校門口右側55公尺處,觀海步道,1,265,6.1,4.6,232.9,2,0,2,2,高壓混凝土磚,465.8,,,,,,,,,N,,,,,,,,,,,2,,,苗栗縣,通霄鎮,,1484750820000,05120A,,,,511.68771786907,430.95740691074
23436,,啟明國小前門,啟明國小左側門,啟明國小大門,2,130,10.5,10.5,97.4,1.35,0,1.35,1.35,高壓混凝土磚,,,,,,,,,,6,,,,,,,,,,,2,,,苗栗縣,通霄鎮,,1484748960000,05120A,是,1045500030205031140,2015,307.42892869124,347.23236256593
23437,,台一線,台一線往啟明國小路口,台一線往拱天宮路口,1,1072.5,30,,1047,1.8,0,2,1.8,標線型,,,,,,,,,,N,,,,,,,,,,,1,,,苗栗縣,通霄鎮,,1484750820000,05120A,是,1045500030205031140,2015,3899.8339859391,2151.4516109311
23438,,啟新路,啟新國中校門口,台一線與啟新路路口,2,350,5.2,7,370.4,1.5,0,2,1.5,標線型,,,,,,,,,,N,,,,,,,,,,,1,,,苗栗縣,通霄鎮,,1484749980000,05120A,是,1045500030205031140,2015,1017.4696717601,651.38413873626
23441,,中山路,中山路51號,中山路97號,3,143,11,,81.6,3,0.7,,2.3,,,,,,,,,,,1,,,,,,,,,,,,,,苗栗縣,苗栗市,,1590057480000,05010A,否,,,260.54982465247,201.04571406781
23442,,中山路,新倉街,中山路243號,3,106,11,,93.5,3,0.7,,2.3,,,,,,,,,,,3,,,,,,,,,,,,,,苗栗縣,苗栗市,,1590056940000,05010A,否,,,96.921565090837,116.37865857963
23443,,中山路,長春街口,中山路403號,1,231,11,,39.5,3.5,0,,3.5,,,,,,,,,,,1,,,,,,,,,,,,,,苗栗縣,苗栗市,,1590056760000,05010A,否,,,106.05488445883,117.97006009982
23444,,忠貞路,國華陸橋,明仁國中,1,284,10,,94.5,1,0,,1,,,,,,,,,,,4,,,,,,,,,,,,,,苗栗縣,苗栗市,,1590056640000,05010A,否,,,339.41513896018,534.62677672817
23445,,坪頂國小後方高鐵橋北側,高鐵橋東側,高鐵橋西側,2,52,8,5,52,1.5,0,1.5,1.5,止滑磚,78,0,,,,,,,,2,,,,,,,,,,,1,,,苗栗縣,通霄鎮,,1484747700000,05120A,,,,57.718844856904,119.67925968478
23446,,坪頂國小後方高鐵橋南側,高鐵橋東側,高鐵橋西側,1,52,8,5,8,1.5,0,1.5,1.5,止滑磚,78,,,,,,,,,2,,,,,,,,,,,1,,,苗栗縣,通霄鎮,,1484747760000,05120A,,,,56.63144976573,120.29110407124
