OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
21849,,觀海路,馬港圖書館,秋桂山水庫,2,638,4,,638,1.5,1.2,,1.2,版磚,,,,,,,,,,N,,,否,否,否,,0,,,,1,1,7,連江縣,南竿鄉,,1466003460000,72000A,,,,1545.3551056636,1502.4880043125
21850,,福沃,人定勝天,福澳村,1,318,8,,318,1.5,1.5,,1.2,高壓混凝土磚,,,,,,,,,,N,,,否,否,否,,0,,,,1,1,7,連江縣,南竿鄉,,1466004300000,72000A,,,,1930.3781504005,798.32556576755
21851,,環島北路,五靈宮廟,環島北路三叉路口,2,2500,6,,245,1.2,1.2,,1.2,版磚,,,,,,,,,,N,,,否,否,否,,0,,,,1,1,7,連江縣,北竿鄉,,1466004780000,72000A,,,,537.40515760045,207.40233374962
21852,,北竿大道,白沙村辦公室,平水尊王廟,1,189,6,,189,1.8,1.8,,1.2,版磚,,,,,,,,,,N,,,否,否,,,0,,,,1,1,7,連江縣,北竿鄉,,1466005020000,72000A,,,,390.81990247494,159.02954489164
21853,,中興路,大坪村,福正村,2,685,5,,685,1.5,1.5,,1.5,版磚,,,,,,,,,,N,,,否,否,,,0,,,,1,1,7,連江縣,莒光鄉,,1560264960000,72000A,否,,,12754.794415245,1945.0297516827
21854,,復興路,塘岐國小,圖書館,1,500,6,,45,1.6,0.4,,1.2,高壓混凝土磚,,,,,,,,,,N,,,否,是,否,,0,,,,1,1,3,連江縣,北竿鄉,,1466006280000,72000A,,,,614.69413903724,175.53230157435
21855,,復興路,塘岐國小,蕭王府,1,40,1.2,,40,1.2,1.2,,1.2,,,,,,,,,,,N,,,,,,,,,,,,,,連江縣,北竿鄉,,1466006400000,72000A,,,,408.20623490766,186.05799676899
21856,,中山路,惠民市場,北竿機場,2,142,9.4,,230,1.2,1.2,,1.2,高壓混凝土磚,,,,,,,,,,N,,,否,否,,,0,,,,1,1,7,連江縣,北竿鄉,,1562602980000,72000A,否,,,857.33882286806,277.40963392382
21857,,機場大道,北竿公車處,尚書宮廟,1,160,9.4,,198,1.25,1.25,,1.2,,,,,,,,,,,N,,,,,,,,,,,,,,連江縣,北竿鄉,,1466006760000,72000A,,,,793.07732943902,318.94098687004
21858,,中正路,消防局,忠於原味,1,120,6,,67,2.4,2.4,,2.4,高壓混凝土磚,,,,,,,,,,N,,,否,是,否,,0,,,,1,1,3,連江縣,北竿鄉,,1466007060000,72000A,,,,1465.8979566185,363.20912384596
