OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
21765,,平和路,平和路1段,平和路2段,1,200,4,,200,4,0,,2,,,,,,,,,,,5,,,,,,,,,,,,,,花蓮縣,壽豐鄉,,1464358200000,15000A,,,,,
21798,,新興一路,新興三街,台九線中正路,1,1000,12,,800,3,1,,1.65,,,,,,,,,,,16,,,,,,,,,,,,,,花蓮縣,新城鄉,,1558458540000,15000A,是,1045500030215041110,2015,3674.3258929301,1493.0862537224
21823,,平和一街,平和一街,平和二街,2,77,10,6,77,2,0,2.5,2,高壓混凝土磚,,,,,,,,,,1,,,否,否,否,,0,,,,1,1,7,花蓮縣,壽豐鄉,1464739200000,1465891860000,15000A,是,1035500030215061190,2014,1208.9195879834,351.59382422805
21824,,平和一街,平和一街,平和二街,2,200,10,6,100,2,0,2.5,2,高壓混凝土磚,,,,,,,,,,1,,,否,否,否,,0,,,,1,1,7,花蓮縣,壽豐鄉,1464739200000,1466496000000,15000A,是,1035500030215061190,2014,1188.4138807145,206.32287270298
21842,,新順興路,新興一路街口,新興一路與新順興路交叉口,2,2000,10,8,919,4.5,1,2.5,1.65,高壓混凝土磚,1655,,,,,,,,,16,,,否,否,否,,0,,,,1,1,2,花蓮縣,新城鄉,,1558458600000,15000A,是,1025500030215041200,2013,2345.4438828219,354.35913033976
4727,,莊敬路,中華路,民國路二段,1,180,15,0,180,1.2,1.2,0,1.2,,0,0,0,0,0,0,0,0,0,2,0,,,,,0,,,,0,,,,花蓮縣,玉里鎮,,1515593820000,15080A,,,,36.751956298247,361.5290543922
4728,,中華路,莊敬路,玉里高中前,1,610,1.2,0,610,1.2,1.2,0,1.2,,0,0,0,0,0,0,0,0,0,6,0,,,,,0,,,,0,,,,花蓮縣,玉里鎮,,1515595440000,15080A,,,,8541.4430033708,674.59508836252
4729,,鎮民廣場,民族路,民族路,3,570,2.5,0,570,2.5,2.5,0,2.5,,0,0,0,0,0,0,0,0,0,6,0,,,,,0,,,,0,,,,花蓮縣,玉里鎮,,1515595080000,15080A,是,1025500030215031130,2013,262.51908696344,506.24645611321
4730,,仁愛路,光復路,中山路,1,470,19,0,470,920,1.5,0,1.5,,0,0,0,0,0,0,0,0,0,10,0,,,,,0,,,,0,,,,花蓮縣,玉里鎮,,1524647580000,15080A,否,,,676.41263028876,918.33958319731
4731,,光復路,大同路,中山路,1,310,620,0,620,620,1,0,1,,0,0,0,0,0,0,0,0,0,10,0,,,,,0,,,,0,,,,花蓮縣,玉里鎮,,1515597120000,15080A,是,1025500030215031130,2013,1365.9453913529,763.92827210551
4732,,忠智路,仁愛路（玉里國小四周）,忠智路,3,830,12,0,830,830,3.5,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,花蓮縣,玉里鎮,,1515663420000,15080A,,,,1930.3722106249,1287.5629397757
4733,,林森路,林森路460巷,中興路,1,910,20,0,910,1.5,0.5,0,1,,0,0,0,0,0,0,0,0,0,15,0,,,,,0,,0,,0,,,,花蓮縣,光復鄉,,1375056000000,15120A,,,,,
4734,,林森路,林森路460巷,中興路,2,910,20,0,910,1.5,0.5,0,1,,0,0,0,0,0,0,0,0,0,15,0,,,,,0,,0,,0,,,,花蓮縣,光復鄉,,1375056000000,15120A,,,,,
4735,,中興路,林森路,和平街,1,1110,20,0,1110,2,0.5,0,1.5,,0,0,0,0,0,0,0,0,0,20,0,,,,,0,,0,,0,,,,花蓮縣,光復鄉,,1375056000000,15120A,,,,,
4736,,中興路,林森路,和平街,2,1110,20,0,1110,2,0.5,0,1.5,,0,0,0,0,0,0,0,0,0,20,0,,,,,0,,0,,0,,,,花蓮縣,光復鄉,,1375056000000,15120A,,,,,
4737,,吉豐路,中山路,廣賢路,2,993,24,0,693.6,2,0,0,2,,0,0,0,0,0,0,0,0,0,7,0,,,,,0,,,,0,,,,花蓮縣,吉安鄉,,1629297720000,15000A,否,,,12911.24876412,2014.0743934615
4738,,吉豐路,中山路,廣賢路,1,993,24,0,454.7,2,0,0,2,,0,0,0,0,0,0,0,0,0,7,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,1389830400000,15050A,,,,11619.532214801,2041.1658345485
4739,,中山路,中正路,仁里五街,2,696,24,0,559,2,0,0,2,,0,0,0,0,0,0,0,0,0,6,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,1389830400000,15050A,,,,8753.9564204406,1422.2032981965
4740,,中山路,吉豐路,仁里五街,1,696,24,0,632.55,2,0,0,2,,0,0,0,0,0,0,0,0,0,11,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,1389830400000,15050A,,,,8500.8810843698,1426.2488837304
4741,,中央路,建昌路,"308980,2652546",2,1909,34,0,1619.79,2,0,0,2,,0,0,0,0,0,0,0,0,0,30,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,1389830400000,15050A,,,,15017.347116952,3823.5434625952
4742,,中央路,建昌路,億福橋,1,1995,34,0,2673.9,2,0,0,2,,0,0,0,0,0,0,0,0,0,20,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,1389830400000,15050A,,,,13257.204637893,4004.6483432656
4743,,中正路,仁里三街,中山路,2,461,15,0,516.1,2,0,0,2,,0,0,0,0,0,0,0,0,0,12,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,1389830400000,15050A,,,,2135.8145999395,653.58483003913
4744,,中正路,東海六街,海岸路,1,535,15,0,472.15,2,0,0,2,,0,0,0,0,0,0,0,0,0,9,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,1389830400000,15050A,,,,2515.0435219421,786.70945915544
4745,,中央路,福昌路,建昌路,,4900,30,0,4500,2.2,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,,,,,,,
4746,,中山路二段,南昌北路,中山路二段鐵路平交道,1,270,20,0,250,1.5,0,0,1.5,,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,,,0,,,,花蓮縣,吉安鄉,,1558397220000,15000A,是,1035500030215051170,2014,8.533976737428,452.41909695831
4747,,中山路,中華路,台九線,,1500,15,0,800,15,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,,,,,,,
4748,,宜昌一街,荳蘭三街,中山路二段,2,390,10,0,390,1.5,0,0,1.5,,0,0,0,0,0,0,0,0,0,6,0,,,,,0,,,,0,,,,花蓮縣,吉安鄉,,1558397460000,15000A,是,1035500030215051170,2014,2838.0240164643,799.19220549866
4749,,和平路,中央路,自立路,,950,20,0,900,2,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,花蓮縣,吉安鄉,,,,,,,,
4750,ji-100-1,建國路,中央路,自立路,2,758,20,15,733,2.5,0,2.5,2.5,高壓混凝土磚,1548,17,6,7,0,0,0,6,5,17,17,,,,,0,0,0,,0,1,4,2,花蓮縣,吉安鄉,1367452800000,1369440000000,15050A,,,,15393.040745976,1884.4767496228
4751,ji-100-2,建國路,中央路,自立路,1,758,20,15,705,2.5,0,2.5,2.5,高壓混凝土磚,1493,28,6,18,2,0,0,6,5,16,16,,,,,0,0,0,,0,1,4,2,花蓮縣,吉安鄉,1367452800000,1369440000000,15050A,,,,15471.027356487,1884.0798112731
