OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
801,2104241011,公園南路,臨安路二段,西門路三段,1,383.26,42.7,40,16.88,2.7,0,0,2.7,連鎖磚,45.58,0,5,1,0,0,0,2,0,2,0,,,,,0,,0,,30,1,1,2,台南市,北區,1358899200000,1366761600000,21000A,,,,41.915616911608,37.146819446323
802,2134241019,東豐路,林森路三段,林森路三段84巷,2,176.22,54.8,48.5,146,3,0,0,3,連鎖磚,438,0,1,0,0,0,0,33,13,0,0,,,,,0,,0,,15,1,1,1,台南市,北區,1357862400000,1366761600000,21000A,,,,431.91062130499,295.68569889241
803,2114241008,前鋒路,小東路,東豐路,2,276.2,25,17,164.74,3.5,0,0,3.5,金錢磚,576.59,0,0,0,0,0,0,1,0,2,0,,,,,0,,0,,0,1,1,2,台南市,北區,1361318400000,1366761600000,21000A,,,,536.84296878416,342.8343394942
804,2124241007,東豐路,勝利路,長榮路四段,1,384.92,58.88,49.09,331.27,6.77,3.18,0,3.59,高壓混凝磚,2242.7,0,2,0,0,0,5,58,3,2,0,,,,,0,,0,,30,3,1,3,台南市,北區,1357862400000,1366761600000,21000A,,,,2237.6543785091,699.34666554296
805,2134241007,東豐路,長榮路四段,林森路三段,2,231.26,58.32,48.91,74.44,3,0,0,3,連鎖磚,223.32,0,2,0,0,0,0,16,7,2,0,,,,,0,,0,,15,1,1,1,台南市,北區,1357862400000,1366761600000,21000A,,,,214.26092851277,151.4187299564
806,2124241018,東豐路,長榮路四段,林森路三段,2,231.26,59.28,48.86,73.69,3.03,0,0,3.03,高壓混凝磚,223.28,0,0,0,0,0,0,19,6,2,0,,,,,0,,0,,30,3,1,3,台南市,北區,1357862400000,1366761600000,21000A,,,,219.08827366241,152.05212434161
807,2124241017,東豐路,長榮路四段,林森路三段,2,231.26,55.24,46.92,21.22,2.99,0,0,2.99,高壓混凝磚,63.45,0,1,1,0,0,0,0,1,2,0,,,,,0,,0,,30,3,1,3,台南市,北區,1357862400000,1366761600000,21000A,,,,62.175793905163,47.586200287439
808,2114241022,公園路,公園南路,公園北路,2,437.24,30,17,181.7,3.5,0,0,3.5,金錢磚,635.95,0,4,1,0,0,2,2,0,3,0,,,,,0,,0,,0,1,1,2,台南市,北區,1361318400000,1366761600000,21000A,,,,635.95724066277,377.24159241919
809,2134241020,林森路三段,東豐路,開南街,1,454.95,38.02,30.19,36.94,3,0,0,3,高壓混凝磚,110.82,0,1,0,0,0,0,11,2,2,0,,,,,0,,0,,15,1,1,1,台南市,北區,1357948800000,1366761600000,21000A,是,1055500030267341120,2016,107.95596085873,76.591460380799
810,2124241024,東豐路,勝利路,長榮路四段,2,384.92,58.74,49.25,23.18,2.83,0,0,2.83,高壓混凝磚,65.6,0,0,0,0,0,0,5,2,2,0,,,,,0,,0,,30,3,1,3,台南市,北區,1357862400000,1366761600000,21000A,,,,66.787576314166,51.939033888243
811,2124241016,東豐路,勝利路,長榮路四段,2,384.92,58.74,49.25,127.8,2.83,0,0,2.83,高壓混凝磚,361.67,0,1,0,0,0,0,33,14,4,0,,,,,0,,0,,30,3,1,3,台南市,北區,1357862400000,1366761600000,21000A,,,,360.32932799908,266.03396062406
