OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
10477,12-0001,建國路,停車場,正義路,1,78,22,15,71.2,5,1.1,3.1,3.1,PC壓花,299.04,13.14,9,2,0,0,1,4,6,0,0,無,否,否,否,0,0,,人行道外推2m,0,1,1,1,雲林縣,崙背鄉,1439942400000,1556180640000,09130A,否,,,233.86417213235,153.09500972982
10478,12-0002,正義路,南光路,建國路,1,75.82,23,18,109.5,5,1.1,3.1,1.3,PC壓花,459.9,28.59,17,3,0,0,1,3,9,0,0,無,否,否,否,0,0,,,0,1,1,1,雲林縣,崙背鄉,1439942400000,1454924640000,09130A,,,,410.01094806896,262.64443597808
10479,12-0003,建國路,南光路1巷,停車場,1,79.1,22,15,23.6,6,1.1,5.2,5.2,PC壓花,148.68,2.42,1,0,0,0,0,1,2,0,0,無,否,否,否,0,0,,人行道外推1m,0,1,1,1,雲林縣,崙背鄉,1439942400000,1455490320000,09000A,,,,81.148250993032,59.971354060137
10480,12-0004,建國路,興業路,南光路1巷,1,79.1,22,15,29.7,7,1.1,5,5,板磚,207.9,7.26,7,0,0,0,0,4,6,2,0,無,否,否,否,0,0,,,0,1,1,1,雲林縣,崙背鄉,1439942400000,1454924700000,09130A,,,,134.46926065785,106.10861182531
10481,12-0005,建國路,信義路,興業路,1,96.36,22,15,60.6,8,1.6,4.5,4.5,連鎖磚,369.66,9.47,6,2,0,0,0,2,5,0,0,無,否,否,是,1,0,,,0,2,1,1,雲林縣,崙背鄉,1439942400000,1455490380000,09000A,,,,213.44576412413,150.0140048996
10482,12-0006,信義路,南光路,建國路,2,94.89,20,15,74.2,5,1.1,3.1,3.1,PC壓花,311.64,10.02,1,1,0,0,0,2,6,0,0,無,否,否,否,0,0,,,0,1,1,1,雲林縣,崙背鄉,1439942400000,1454924760000,09130A,,,,255.40337603441,189.22352240231
10483,12-0007,南光路,信義路,興業路,2,82.13,23,18,69.8,5,1.1,3.1,3.1,PC壓花,293.16,11.03,3,1,0,0,0,2,6,0,0,無,否,否,否,0,0,,,0,1,1,1,雲林縣,崙背鄉,1439942400000,1454924820000,09130A,,,,281.88939154365,152.76382618808
10484,12-0008,南光路,南光路,建國路,2,91,10,10,64.3,3.5,0,3.5,3.5,PC壓花,225.05,1.44,3,1,0,0,0,0,0,0,2,無,否,否,是,3.5,0,,,0,1,1,1,雲林縣,崙背鄉,1439942400000,1455490440000,09000A,,,,272.50230027632,170.75111698128
10485,12-0009,南光路,興業路,南光路1巷,2,75.29,23,18,30.1,5,1.1,3.1,3.1,連鎖磚,126.42,2.42,3,0,0,0,0,2,2,0,0,無,否,否,否,0,0,,,0,1,1,1,雲林縣,崙背鄉,1439942400000,1454924880000,09130A,,,,136.69180254968,94.080387677399
10486,12-0010,南光路,南光路1巷,停車場,2,21.2,23,18,24.8,5,1.1,3.1,3.1,PC壓花,104.16,2.42,3,0,0,0,0,0,2,0,0,佔用,否,否,否,0,0,,,0,1,2,1,雲林縣,崙背鄉,1439942400000,1454924940000,09130A,,,,61.20245410314,50.903373475954
10487,12-0011,崙背國中,崙背國中,大成路,1,150.09,15,15,176.6,3.5,1.1,2.4,2.4,PC壓花,618.1,12.25,9,0,0,0,0,1,12,0,0,無,否,否,是,3.5,0,,,10,1,1,5,雲林縣,崙背鄉,1439942400000,1454925000000,09130A,是,108G201020109122790,2019,1300.6634984204,416.15869966211
10488,12-0012,運動公園,雲16,運動公園,1,159.67,15,15,110.5,3.5,1.1,2.4,2.4,金錢磚,386.75,13.2,4,0,0,0,0,0,10,0,0,無,否,否,是,3.5,0,,,24,1,1,,雲林縣,崙背鄉,1439942400000,1454925000000,09130A,是,108G201020109122790,2019,600.14212134756,186.62276731572
10489,12-0013,雲16,大同路,運動公園,2,37.55,12,12,321,3.5,1.1,2.4,0.9,金錢磚,581.92,16.94,4,0,0,0,0,0,10,0,3,無,否,否,是,3.5,0,,,11,1,1,7,雲林縣,崙背鄉,1439942400000,1454925060000,09130A,是,108G201020109122790,2019,1809.9967767949,686.43894347466
10490,12-0014,大同路,雲16,運動公園,2,263.81,15,15,247.5,3.5,1.1,2.4,0.9,金錢磚,651.53,23.76,0,0,0,0,0,0,18,0,1,無,否,否,是,3.5,0,,,5,1,1,7,雲林縣,崙背鄉,1439942400000,1454925060000,09130A,是,108G201020109122790,2019,1649.7432961071,541.0785446769
10491,12-0015,大同路,崙背國中,大成路,2,177.79,15,15,96.9,3.5,1.1,2.4,2.4,金錢磚,339.15,11.34,0,0,0,0,0,0,9,0,0,無,否,否,是,3.5,0,,,12,2,1,5,雲林縣,崙背鄉,1439942400000,1454925120000,09130A,是,108G201020109122790,2019,509.2827011478,181.03893286654
10492,12-0016,大成路,大同路,崙背國中,1,211.67,15,15,195.2,3.5,1,3.5,2.5,金錢磚,683.2,12.98,5,0,0,0,6,1,18,0,1,無,否,否,是,3.5,0,,,1,1,1,5,雲林縣,崙背鄉,1439942400000,1454925120000,09130A,是,108G201020109122790,2019,1384.0958566728,401.81844152357
10493,12-0017,大同路,崙背國小,大同路150巷,1,199.96,15,15,199.4,3.5,1.1,2.4,2.4,金錢磚,697.9,37.8,0,0,0,0,0,0,28,0,3,無,否,否,是,3.5,0,,,7,1,1,5,雲林縣,崙背鄉,1439942400000,1454925180000,09130A,是,108G201020109122790,2019,1738.2163256019,550.88833039624
10494,12-0018,大同路150巷,忠孝街,大同路,1,147.62,4,4,105.1,6,3,3,3,瓷磚,630.6,265.2,2,0,0,0,0,0,12,0,0,無,否,否,是,6,0,,,0,1,1,5,雲林縣,崙背鄉,1439942400000,1454925180000,09130A,是,108G201020109122790,2019,519.48324300524,271.51362434664
10502,08-0001,民族路,自來水公司,中正路,2,176.22,12,12,116.5,3.5,1.7,2.2,1.1,連鎖磚,407.75,11.78,0,0,0,0,0,0,9,0,1,1,否,否,是,3.5,0,,,0,1,1,6,雲林縣,大埤鄉,1439942400000,1454972100000,09000A,,,,1064.1016519626,494.24369977156
10503,08-0002,中山路,大埤鄉公所,大埤鄉公所,2,54.71,12,12,25.9,2.4,0,2.4,2.4,混泥土高壓磚,62.16,0,0,0,0,0,,0,0,0,0,1,否,否,是,2.4,0,,,0,1,1,6,雲林縣,大埤鄉,1439942400000,1454972100000,09000A,,,,243.19858213607,119.51131778871
10504,08-0003,大埤國小,大埤國小,中正路,1,136.17,4,4,171.6,6,0.9,1.6,1.6,連鎖磚,672.68,58.12,6,0,0,4,0,0,11,2,1,1,否,否,是,6,0,,,0,1,1,5,雲林縣,大埤鄉,1439942400000,1454972160000,09000A,,,,898.42993503625,339.19423802176
10505,08-0005,民權路,民生路120巷,民生路111巷,2,135.52,12,12,123.2,1.8,0,1.8,1.8,"洗石子,石版磚",221.76,0,2,0,0,0,0,0,0,2,0,1,否,否,是,1.8,0,,,0,1,1,,雲林縣,大埤鄉,1439942400000,1454972160000,09000A,,,,577.21404773049,266.11966028591
10506,08-0006,中正路,公墓,公墓,1,141.24,15,15,86.9,4.3,2.8,1.5,1.5,"洗石子,混泥土",373.67,19.74,4,0,0,0,0,1,12,0,1,1,否,否,是,4.3,0,,,0,1,1,,雲林縣,大埤鄉,1439942400000,1454972220000,09000A,,,,3161.5729548147,366.71931512758
10507,11-0001,中興路,中興路86巷,中興路136巷,1,114.9,12,12,44.8,4.98,0,3.2,2.8,大理石,223.1,0,0,3,0,0,0,2,0,0,1,無,否,否,是,4.98,0,,,0,1,1,6,雲林縣,二崙鄉,1439942400000,1455490080000,09000A,,,,474.39088815339,230.36861073627
10508,11-0002,中興路,中興路62巷,中興路86巷,1,44.7,12,12,61.8,1.5,0,1.5,1.5,連鎖磚,92.7,0,0,0,0,0,0,0,0,1,1,無,否,否,是,1.5,0,,,0.73,1,1,6,雲林縣,二崙鄉,1439942400000,1455490140000,09000A,,,,439.14516272047,207.97954404859
10509,11-0003,中興路,活動中心,中興路62巷,1,84.6,12,12,29.7,8,0,8,4.3,連鎖磚,182.65,0,0,0,0,0,0,0,0,0,0,無,否,否,是,8,0,,,0,1,1,5,雲林縣,二崙鄉,1439942400000,1455490140000,09000A,,,,202.27269534346,98.248495680311
10510,11-0004,中興路,中興路32巷,二崙國小,1,68.6,12,12,98.7,3.4,0.7,2.7,0.6,"連鎖磚,磁磚,混泥土押花",335.58,13.85,1,0,0,0,1,0,25,0,3,無,否,否,是,3.4,0,,,0.38,1,1,5,雲林縣,二崙鄉,1439942400000,1455490140000,09000A,,,,485.03808942022,216.10369897016
10511,11-0005,中興路,中山路,中興路7巷,2,151.6,12,12,142.6,4.2,0,4.2,1.8,連鎖磚,556.46,0,17,0,0,1,0,2,0,2,0,無,否,否,是,4.2,0,,汽車停車,0.5,3,1,6,雲林縣,二崙鄉,1439942400000,1454925780000,09040A,,,,558.75190782102,310.51028252766
