OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
11389,3088004,和平路二段,澄觀路二段,澄觀路二段555巷,2,286.1,45,41,275.99,1.99,0,1.99,1.08,金錢磚,555.26,0,17,0,0,0,0,53,0,2,0,無阻礙,否,否,否,0,0,,,0,1,1,,高雄市,大社區,1386547200000,1482333000000,12000A,,,,534.23094793908,555.25630151739
11390,3088001,和平路二段,澄觀路二段555巷,和平路二段,2,219.82,45,41,214.87,1.95,0,1.95,1.17,金錢磚,409.77,1.43,18,2,0,0,1,39,0,2,2,無阻礙,否,否,否,0,0,,,0,1,1,,高雄市,大社區,1386547200000,1482333060000,12000A,,,,409.77001505222,431.62101431779
11391,3088003,和平路二段,鹽埕巷,無名,1,901.23,45,41,899.06,2.04,0,2.04,1.27,金錢磚,1876.01,0.68,57,1,0,0,0,157,0,N,12,無阻礙,否,否,否,0,0,0,,2.08,1,1,8,高雄市,大社區,1386547200000,1451260800000,CECI,,,,1864.6696226605,1871.0623012061
11392,3089004,和平路二段,無名,文明路,1,141.71,45,41,130.99,2.03,0,2.03,1.21,金錢磚,262.99,0,14,0,0,0,0,18,0,N,1,無阻礙,否,否,否,0,0,0,,0,1,1,8,高雄市,大社區,1386633600000,1451260800000,CECI,,,,285.61626173212,286.64105594671
11393,3088002,和平路二段,和平路二段,文明路,2,387.15,45,41,382.89,1.99,0,1.99,0.9,金錢磚,744.54,0,33,1,0,0,0,78,0,2,3,無阻礙,否,否,否,0,0,,,0,1,1,,高雄市,大社區,1386633600000,1482750480000,12000A,,,,744.54325046788,768.34282403272
11394,3089003,和平路二段,無名,無名,1,194.57,45.32,41.25,188.12,1.98,0,1.98,1.27,金錢磚,383.86,0.7,8,1,0,0,1,35,0,N,3,無阻礙,否,否,否,0,0,0,,0,1,1,8,高雄市,大社區,1386633600000,1451260800000,CECI,,,,430.15080422658,421.58935517176
11395,3089001,和平路二段,文明路,文華路,2,208.81,44.98,41.12,204.51,1.92,0,1.92,1.12,金錢磚,390.61,0,8,0,0,0,0,22,0,2,3,無阻礙,否,否,否,0,0,,,0,1,1,,高雄市,大社區,1386633600000,1482750480000,12000A,,,,390.60797766564,411.29668032779
11396,2989001,文明路,文明路66巷,文華路,1,230.16,10.67,7.95,239.83,2.8,0,2.8,2.79,高壓水泥,693.59,0,0,0,1,0,0,1,0,2,1,無阻礙,否,否,否,0,0,0,,0,1,1,5,高雄市,大社區,1387756800000,1451260800000,CECI,,,,693.59494549004,484.30514375792
11397,3089005,和平路二段,無名,中華路一十四巷,1,269.84,45.35,41.26,261.74,2.01,0,2.01,1.47,金錢磚,537.15,0,21,0,0,0,0,46,0,2,2,無阻礙,否,否,否,0,0,,,0,1,1,,高雄市,大社區,1386720000000,1482750540000,12000A,,,,537.14583605382,527.0805416873
11398,3089002,和平路二段,文華路,中華路14巷,2,269.28,4502,41.13,261.64,2,0,2,1.3,金錢磚,526.4,0.32,20,3,0,0,0,40,0,2,5,無阻礙,否,否,否,0,0,,,0.52,1,1,,高雄市,大社區,1386633600000,1482750540000,12000A,,,,526.38340959479,526.08762313237
11399,2789001,興工路,永宏巷,經建路,2,1075.06,12.56,19.96,1025.21,3.6,0,3.6,1.47,版,3890.71,1463.06,88,4,0,0,2,69,23,2,5,無阻礙,否,否,否,0,0,,,0,3,4,4,高雄市,大社區,1387411200000,1482750600000,12000A,,,,3890.7093474564,2057.3981173295
11400,2789002,興工路,永宏巷,經建路,1,1075.06,12.56,19.96,1027.42,3.87,0,3.87,1.37,版,3772.06,1366.01,87,5,0,0,3,81,20,2,8,無阻礙,否,否,否,0,0,,,0,3,4,4,高雄市,大社區,1387411200000,1482750600000,12000A,,,,3772.0717905946,2061.4984654199
11401,2790010,經建路,經建路5-1巷,興工路,1,662.11,17.53,25.14,604.74,3.68,0,3.68,1.46,高壓水泥,2261.62,1027.56,39,3,0,0,0,45,8,2,4,無阻礙,否,否,否,0,0,,,0,1,4,4,高雄市,大社區,1387497600000,1482750600000,12000A,,,,2261.6173701227,1217.3018513197
11402,2790011,經建路,經建路,興工路,2,52.42,21.15,25.02,47.68,3.72,0,3.72,1.5,洗石子,183.69,72.95,2,3,0,0,0,2,1,N,0,無阻礙,否,否,否,0,0,,,0,1,1,4,高雄市,大社區,1387411200000,1482750720000,12000A,,,,183.69312870552,102.44144356823
11403,3089006,和平路二段,中華路14巷,和平路二段121巷,1,105.47,45.37,41.35,97.12,2.06,0,2.06,1.28,金錢磚,194.32,0,9,0,0,0,0,16,0,N,2,無阻礙,否,否,否,0,0,0,,0,1,1,8,高雄市,大社區,1386720000000,1451260800000,CECI,,,,194.32423073173,197.04548395756
11404,2790009,經建路,興西路,興工路,2,662.11,17.53,25.14,639.95,3.97,0,3.97,1.53,高壓水泥,2495.21,1027.4,38,2,0,0,4,42,8,N,3,無阻礙,否,否,否,0,0,0,,0,1,4,4,高雄市,大社區,1387497600000,1451260800000,CECI,,,,2495.2093718807,1289.5558727485
11405,2790001,經建路,興工路,經建路,1,42.43,21.18,25.01,44.44,3.86,0,3.86,1.56,洗石子,179.08,60.23,1,0,0,0,0,1,1,N,0,無阻礙,否,否,否,0,0,0,,0,1,1,4,高雄市,大社區,1387411200000,1451260800000,CECI,,,,179.08912549063,96.4997359934
11406,2790008,經建路,經建路,興工路,2,52.25,21.45,25.3,43.65,3.81,0,3.81,1.44,洗石子,173.29,61.99,0,2,0,0,0,0,1,2,0,無阻礙,否,否,否,0,0,,,0,1,2,4,高雄市,大社區,1387497600000,1482750840000,12000A,,,,173.29357556882,95.233300462303
11407,2790004,經建路,興工路,經建路,1,41.29,21.17,25.12,17.98,3.45,0,3.45,1.57,洗石子,70.04,21.9,1,0,0,0,0,0,1,N,0,無阻礙,否,否,否,0,0,0,,0,1,1,4,高雄市,大社區,1387411200000,1451260800000,CECI,,,,70.044797034521,45.100409815675
11408,3090005,和平路二段,和平路二段121巷,無名,1,91.09,45.14,41.31,84,2.05,0,2.05,1.19,金錢磚,171.89,0,9,0,0,0,0,16,0,2,1,無阻礙,否,否,否,0,0,,,0,1,1,,高雄市,大社區,1386892800000,1482750900000,12000A,,,,171.89930914705,172.16242574185
11409,3090001,和平路二段,中華路14巷,中華路,2,199.84,45.14,41.31,184.61,2,0,2,0.9,金錢磚,366.88,0,12,0,0,0,0,35,0,2,2,無阻礙,否,否,否,0,0,,,0,1,1,,高雄市,大社區,1386806400000,1482750900000,12000A,,,,366.88526015286,372.42748744528
11410,2790002,經建路,興工路,三中路,1,390.61,17.64,25.34,334.5,3.85,0,3.85,1.51,高壓水泥,1289.28,567.7,26,0,0,0,0,16,5,2,3,無阻礙,否,否,否,0,0,,,0,1,4,4,高雄市,大社區,1387411200000,1482750900000,12000A,,,,1289.2797876228,676.25248369154
11411,3090006,和平路二段,無名,無名,1,87.04,45.12,41.37,80,2.02,0,2.02,1.06,金錢磚,161.86,1.24,12,2,0,0,0,14,0,N,1,無阻礙,否,否,否,0,0,0,,9.77,1,1,8,高雄市,大社區,1386892800000,1451260800000,CECI,,,,184.18978740544,183.42463285875
11412,2890001,三中路,大新路,新興路,1,285.99,19.93,28.3,218.2,8.11,0,8.11,2.73,高壓水泥,1833.35,4.11,12,1,0,0,4,0,3,2,0,無阻礙,否,否,否,0,0,0,,0,1,1,7,高雄市,大社區,1387756800000,1451260800000,CECI,,,,1833.3612531218,450.27587741002
11413,3090002,和平路二段,中華路,無名,2,77.87,45.12,41.46,65.57,2,0,2,1.05,金錢磚,130.65,0,7,0,0,0,0,10,0,2,0,無阻礙,否,否,否,0,0,,,0,1,1,,高雄市,大社區,1386806400000,1482750960000,12000A,,,,130.65518634382,133.54921611726
11414,2790007,興工路,經建路,無名,2,196.35,12.55,20.1,164.37,3.9,0,3.9,1.53,洗石子,629.6,346.17,17,1,0,0,0,12,2,2,0,無阻礙,否,否,否,0,0,,,0,1,4,4,高雄市,大社區,1387497600000,1482750960000,12000A,,,,629.598532018,335.2088320634
11415,2790003,經建路,興工路,三中路,2,390.61,17.64,25.34,352.33,3.64,0,3.64,1.58,高壓水泥,1335.54,601.21,42,1,0,0,0,10,6,N,4,無阻礙,否,否,否,0,0,0,,0,1,4,4,高雄市,大社區,1387411200000,1451260800000,CECI,,,,1335.5487052204,711.89819510493
11416,2790005,興工路,經建路,無名,1,196.35,12.55,20.1,149.28,3.72,0,3.72,1.53,洗石子,551.16,71.43,9,0,0,0,0,6,4,N,5,無阻礙,否,否,否,0,0,0,,0,1,4,4,高雄市,大社區,1387497600000,1451260800000,CECI,,,,551.16402376405,304.66437595934
11417,2790006,興工路,圓環,圓環,2,93.01,17.41,19.46,89.58,1.51,0,1.51,1.51,洗石子,153.52,0,3,0,0,0,0,0,0,2,1,無阻礙,否,否,否,0,0,,,0,1,4,4,高雄市,大社區,1387497600000,1482751020000,12000A,,,,153.51065137287,189.84637906742
11418,2890002,三中路,新興路,三民路,1,245.16,19.9,26.8,220.01,7.09,0,7.09,1.65,高壓水泥,1491.93,1.9,11,0,0,0,3,0,3,2,0,無阻礙,否,否,否,0,0,0,,0,1,1,7,高雄市,大社區,1387756800000,1451260800000,CECI,,,,1491.9503578953,453.67545040717
11419,3090007,和平路二段,無名,中山路,1,294.1,45.47,41.46,281.82,1.97,0,1.97,0.58,金錢磚,558.88,8.99,27,3,0,0,1,48,8,3,4,無阻礙,否,否,否,0,0,0,,0,1,1,8,高雄市,大社區,1386892800000,1451260800000,CECI,,,,582.30138670426,587.18765910029
11420,3090003,和平路二段,無名,中山路,2,286.3,45.47,41.5,273.51,1.99,0,1.99,0.73,金錢磚,545.89,13.33,20,1,0,0,0,47,11,4,2,無阻礙,否,否,否,0,0,0,,2.48,2,1,8,高雄市,大社區,1386806400000,1451260800000,CECI,,,,545.89254029571,551.0857454631
11421,2890003,三民路,三民路338巷,自強街,2,190.93,14.61,16.88,151.28,1.2,0,1.2,1.2,高壓水泥,295.26,55.2,0,0,1,0,0,0,1,2,0,無阻礙,否,否,否,0,0,0,,0,1,1,5,高雄市,大社區,1387756800000,1451260800000,CECI,,,,295.25557719931,306.76947071189
