OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
11375,,博愛路一段,圓環,林業文化園區,2,151,10,,132,4.93,0.67,,4.26,,,,,,,,,,,2,,,否,,否,,0,,,0,1,1,7,嘉義市,西區,,1444931880000,20000A,是,1035500030220011040,2014,333.90714645091,290.32523848082
21800,,保成路,保康路,保義路246巷,1,114.88,8,,111.35,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465311360000,20000A,,,,246.42983761662,202.11158891277
21801,,保成路,保康路,保義路246巷,2,114.88,8,,121.35,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465311360000,20000A,,,,185.18273271098,229.20585238255
21802,,保成路,保義路246巷,保仁三街,1,114.88,8,,111.35,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465311540000,20000A,,,,198.95790733889,214.70818127643
21803,,保成路,保義路246巷,保仁三街,2,114.88,8,,111.35,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465311720000,20000A,,,,162.47051069494,207.28893821587
21804,,保成路,保仁三街,保仁三街38巷,1,153.12,8,,152.09,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465311960000,20000A,,,,338.10683007822,316.53643125366
21805,,保成路,保仁三街,保仁三街38巷,2,114.88,8,,136.95,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465312020000,20000A,,,,257.35666086992,270.27321638167
21806,,保成路,保仁三街38巷,保建街,1,317.11,8,,303.68,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465312380000,20000A,,,,648.44768937785,598.55772718684
21807,,保成路,保仁三街38巷,保成路131巷,2,24.38,8,,16.66,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465312500000,20000A,,,,38.711293135269,41.800325649775
21808,,保成路,保仁三街38巷,保成路81巷,2,123.88,8,,111.85,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465312560000,20000A,,,,151.13974859871,215.84427582464
21809,,保成路,保仁三街38巷,保成路77巷,2,20.27,8,,12.88,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465313040000,20000A,,,,16.982763358068,26.767919673204
21810,,保成路,保仁三街38巷,保成路47巷,2,96.6,8,,89.93,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465313100000,20000A,,,,131.68660055163,172.07243650817
21811,,保成路,保仁三街38巷,保建街,2,47.6,8,,25.38,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465313220000,20000A,,,,30.952074316401,55.261614436078
21812,,保成路,保建街,台林街,1,144.05,8,,133.14,1.6,0,,1.6,,,,,,,,,,,2,,,,,,,,,,,,,,嘉義市,東區,,1465313400000,20000A,,,,158.55288558576,244.57568961243
