OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
10217,,溫泉路,"252645.808,2510931.605","252234.630,2510538.521",1,587,18,,545,3,0.9,,2.1,,,,,,,,,,,10,,,,,,,,,,,,,,台東縣,卑南鄉,,1484843520000,14170A,是,1045500030214041120,2015,5619.1806912596,1298.2892421533
10218,1,日昇路,太麻里火車站,台9線402k,1,450,18,,450,2,0,,1,,,,0,0,0,0,0,1,2,N,0,,否,否,否,,0,,,30,,,7,台東縣,太麻里鄉,1353369600000,1494616800000,14000A,是,1055500030214091130,2016,1265.1918779396,923.13092267081
10219,2,民權路,日昇路,德輝路,1,170,10,,170,2,0,,1,,,,0,0,0,0,0,1,2,N,0,,否,否,否,,0,,,30,,,7,台東縣,太麻里鄉,1353369600000,1590051420000,14060A,否,,,1870.8665006718,378.74454186628
10220,3,德輝路,大王國中,太麻里街,1,170,10,,170,2,0,,1,,,,0,0,0,0,0,1,2,N,0,,否,否,否,,0,,,30,,,7,台東縣,太麻里鄉,1353369600000,1590051480000,14060A,否,,,963.23403479389,281.98486527634
21750,,人行道,綠島國小,綠島國中,3,139,10,6,206,1.25,0,1.25,1.25,高壓磚,260,,0,0,0,0,0,0,14,0,0,違規停車狀況嚴重,否,否,否,,0,,,0,,,2,台東縣,綠島鄉,1425340800000,1456959900000,14030A,,,,,
21751,,人行道,綠島國中,綠島國中,1,139,6,,109,1.25,0,,1.25,,,,,,,,,,,N,,,,,,,,,,,,,,台東縣,綠島鄉,,1456971360000,14030A,,,,,
21861,,新站路,文昌路,新站路100號,1,500,20,,500,2,0,,0.9,,,,,,,,,,,N,,,,,,,,,,,,,,台東縣,台東市,,1466519040000,14000A,是,1035500030214011100,2014,1977.5617438902,1117.3077451757
21862,,南京路,新生路,更生路,1,500,13,,500,1.8,0,,0.9,,,,,,,,,,,N,,,,,,,,,,,,,,台東縣,台東市,,1466522520000,14000A,是,108G201020114012190,2019,1116.7986913266,1016.1138483906
21863,,民族路,和平路,自強路,2,520,10,,520,1.8,0,,0.9,,,,,,,,,,,N,,,,,,,,,,,,,,台東縣,關山鎮,,1466523060000,14000A,,,,911.52491775184,769.78078595347
21864,,隆盛路,和平路,新政路,2,500,10,,500,1.8,0,,0.9,,,,,,,,,,,N,,,,,,,,,,,,,,台東縣,關山鎮,,1466523240000,14000A,,,,,
23439,,溫泉路,"252658.981,2510922.878","252236.392,2510519.389",2,587,18,,484,3,0.9,,2.1,,,,,,,,,,,14,,,,,,,,,,,,,,台東縣,卑南鄉,,1484215440000,14170A,,,,,
23440,,東欣路,台九線東欣路口,東欣路與東2交叉口,2,408,1520,,408,1.5,1.4,,1.5,高壓混凝土磚,,,,,,,,,,2,,,否,否,,,0,,,,1,1,,台東縣,池上鄉,,1569853560000,14100A,是,1055500030214061120,2016,319.41464476277,932.5699159957
23449,,東欣路,台九線東欣路口,東欣路與東2交叉口,1,408,1520,,408,1.5,1.4,,1.5,高壓混凝土磚,,,,,,,,,,2,,,否,否,否,,0,,,,1,1,,台東縣,池上鄉,,1485179100000,14100A,是,1055500030214061120,2016,588.05243818969,927.78346322238
329,,興安路一段,興安路一段,新興路,2,845.64,40,0,617,5,0,0,5,,0,0,0,0,0,0,0,0,0,2,0,,,,,0,,,,0,,,,台東縣,台東市,,1466519760000,14000A,,,,323.94001351157,1844.0145157659
330,,光復路,大同路,鐵花路,1,585.52,22,0,620,2.2,1,0,1.2,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,台東市,,1466522220000,14000A,是,1035500030214011050,2014,762.29001207798,1070.2856236413
331,,光復路,大同路,鐵花路,2,585.52,22,0,620,2,1,0,1,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,台東市,,1466522100000,14000A,是,1035500030214011050,2014,292.53055337426,1082.6148090063
332,,興安路一段,興安路一段,新興路,1,845.64,40,0,740,5,0,0,5,,0,0,0,0,0,0,0,0,0,2,0,,,,,0,,,,0,,,,台東縣,台東市,,1466520240000,14000A,,,,1457.7075476202,1909.3121907089
333,,正氣路,傳廣路,新生路,1,116.35,12,0,60,1.2,0,0,1.2,,0,0,0,0,0,0,0,0,0,2,0,,,,,0,,,,0,,,,台東縣,台東市,,1589811060000,14010A,否,,,98.388324036128,185.38988681273
334,,更生路,更生路886巷,寧波街,1,1820.02,12,0,1700,3.5,1,0,2.5,,0,0,0,0,0,0,0,0,0,36,0,,,,,0,,,,0,,,,台東縣,台東市,,1589811300000,14010A,否,,,9641.352380618,3817.0343137665
335,,鐵花路,博愛路,中華路一段,1,550.09,10,0,670,1,0,0,1,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,台東市,,1466520780000,14000A,,,,1072.1979121061,1089.0480548329
336,0626-1,大同路,臨海路一段,中華路一段,,550,12,0,550,0,0,0,1.5,,825,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,否,,,1435.9349331944,1092.3091966607
337,0626-1,臨海路一段,大同路,豐谷南路,,2300,8,0,2300,0,0,0,1.5,,6900,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,,,,7345.1799199721,4626.431958548
338,0626-3,桂林北路,博愛路,中華路一段,,700,8,0,700,0,0,0,1.5,,5600,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,,,,1522.9627269861,1401.3800373164
339,東市001,中華路一段719項,中華路一段,桂林南路238巷,,240,12,0,240,0,0,0,2.5,,600,0,0,0,0,0,0,0,0,3,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,,,,907.19885068001,535.05353426177
340,東市002,中華路一段719巷,桂林南路238巷,東海國中操場,,200,12,0,200,0,0,0,2.5,,500,0,0,0,0,0,0,0,0,4,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,,,,1638.116181302,591.05597225497
341,東市003,中山路,新生路,馬亨亨大道,2,1460,10,0,1460,0,0,0,2,,2920,0,0,0,0,0,0,0,0,26,0,,,,,0,,,,0,,,,台東縣,台東市,,1565263740000,admin,否,,,3934.4879098404,2982.7517003622
342,東市005,中華路一段,鐵花路,桂林北路,,650,10,0,650,0,0,0,2,,1300,0,0,0,0,0,0,0,0,8,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,,,,839.56388819899,1036.1150170061
343,東市006,南島大道,民航路,台鐵道,,2200,18,0,4400,0,0,0,2.5,,11000,0,0,0,0,0,0,0,0,22,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,,,,6920.1463615281,4476.7443590368
344,東市007,南島大道,台鐵道,館前路,,1200,20,0,2400,0,0,0,2.5,,6000,0,0,0,0,0,0,0,0,20,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,,,,1582.8750721895,2335.3555355121
345,東市008,博物館路,博物館路台鐵地下道,山西路二段高架橋,,1200,16,0,2400,0,0,0,2,,4800,0,0,0,0,0,0,0,0,18,0,,,,,0,,0,,0,,,,台東縣,台東市,,,,,,,1976.683068247,2515.1124548424
346,0010,民航路,更生路,機場,1,3800,30,20,3800,6,1,6,3,PC+高壓磚,22800,0,0,0,50,0,0,0,0,50,20,,,,,0,0,,,0,1,1,7,台東縣,台東市,,1589810580000,14010A,否,,,47752.212446139,7630.4489415171
347,,更生北路,連航路,賓朗路2巷,2,2700,20,15,2700,5,2.5,5,2.5,版磚,13500,0,0,0,0,0,0,0,0,27,0,,,,,0,0,0,,0,1,1,7,台東縣,台東市,,1371600000000,14000A,,,,5621.0170875816,5546.2367548767
348,,新生路,中山路,光復路,1,600,20,17,600,2,1,3,2.5,高壓混凝土磚,1800,600,0,6,18,20,0,6,30,20,2,,,,,0,0,0,,0,2,1,3,台東縣,台東市,,1403654400000,14000A,是,1025500030214011050,2013,1964.0460802852,1193.5443319085
349,,馬亨亨大道,臨海路一段,志航路一段,2,5700,50,34,11400,8,1.5,8,4,水泥鋪面,91200,0,0,0,0,0,0,0,0,57,0,,,,,0,1,2,,0,2,1,7,台東縣,台東市,,1371600000000,14000A,是,107G201020114012120,2018,24165.520106524,9672.9573171527
350,0010,博愛路,鐵花路,正氣路,1,300,15,13,300,2,0,2,2,高壓混凝土磚,600,0,0,0,0,0,0,0,0,8,0,,,,,0,0,0,,0,2,,6,台東縣,台東市,,1404777600000,14000A,,,,1492.1670353716,648.63375216254
351,,太平路,臺11線,太平路52巷,2,222.19,15,0,222.19,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570546980000,14020A,否,,,1951.6138631422,500.44287881387
352,,太平路,太平路52巷,大勇街,2,84.57,15,0,84.57,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547040000,14020A,否,,,814.53859308474,201.92917972394
353,,太平路,大勇街,民生路,2,34.33,15,0,34.33,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547100000,14020A,否,,,366.47360184773,101.10799731014
354,,太平路,民生路,中山東路,2,166.49,15,0,166.49,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547220000,14020A,否,,,1426.6633328116,369.53510683985
355,,太平路,中山東路,民恒路,2,63.25,15,0,63.25,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547280000,14020A,否,,,547.64587552676,147.90368110842
356,,太平路,民恒路,民富路,2,50.83,15,0,50.83,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547400000,14020A,否,,,510.61318825386,145.02964908199
357,,太平路,臺11線,新生路,2,172.64,15,0,172.64,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547460000,14020A,否,,,1616.3738689921,414.76511350824
358,,太平路,新生路,中正路,2,67.15,15,0,67.15,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547700000,14020A,否,,,803.0207775472,188.30527976292
359,,太平路,中正路,民生路,2,63.87,15,0,63.87,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547760000,14020A,否,,,791.2288049036,190.97232398934
360,,太平路,民生路,大仁街,2,32.07,15,0,32.07,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570547820000,14020A,否,,,368.67886436335,100.39859517361
361,,太平路,大仁街,中華路,2,31.53,15,0,31.53,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570548000000,14020A,否,,,384.46538755833,105.67129685539
362,,太平路,中華路,大智街,2,33,15,0,33,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570548000000,14020A,否,,,390.94120589885,105.51130068124
363,,太平路,大智街,中山東路,2,31.84,15,0,31.84,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570548060000,14020A,否,,,372.98474243868,101.48535688272
364,,東17線,東17線,民豐街,1,350,16,0,350,2,0,0,2,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1571051880000,14020A,否,,,1878.9686028226,730.69295640484
365,,中山東路,民豐街,太平路,1,114.09,13.5,0,114.09,3.5,0,0,3,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570550580000,14020A,否,,,758.81473524901,271.00759192084
366,,中山東路,太平路,五權路,1,94.8,13.5,0,94.8,3.5,0,0,3,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570550640000,14020A,否,,,651.46168485725,227.81997697563
367,,中山東路,五權路,光復路,1,92.31,13.5,0,92.31,3.5,0,0,3,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570551000000,14020A,否,,,609.77847541764,215.44607030819
368,,中山東路,光復路,民權路,1,205.06,13.5,0,205.06,3.5,0,0,3,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570551120000,14020A,否,,,1233.2408628197,434.88283331064
369,,中山東路,民權路,東海路,1,277.43,13.5,0,277.43,3.5,0,0,3,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570551300000,14020A,否,,,1634.6146232523,580.69314086052
370,,光復路,中山東路,民安路,1,30.73,15,0,30.73,7,0,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570552860000,14020A,否,,,120.19842727266,67.219771782463
371,,光復路,中山東路,民安路,2,30.34,15,0,30.34,7,0,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1571046660000,14020A,否,,,218.77158363581,73.858007341535
372,,光復路,民安路,民恒路,2,26.25,15,0,26.25,7,0,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1571049060000,14020A,否,,,239.58950688107,79.813711342268
373,,光復路,民恒路,有恒路,2,26.25,15,0,26.25,7,0,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570552200000,14020A,否,,,250.09442078057,80.940753054571
374,,光復路,民安路,民恒路,1,27.74,15,0,27.74,7,0,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570553220000,14020A,否,,,128.45771654088,71.542551302078
375,,光復路,民恒路,五權路,1,155.15,15,0,155.15,7,0,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570553520000,14020A,否,,,1059.2590751169,352.9846171288
376,,光復路,有恒路,民富路,2,21.73,15,0,21.73,7,0,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570552320000,14020A,否,,,244.95393649947,77.83261628169
377,,光復路,民富路,五權路,2,69.8,15,0,69.8,7,0,0,3.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570552380000,14020A,否,,,576.26914413975,203.38346067542
378,,五權路,民富路,光復路,1,115,16,14,115,2,0,2,2,高壓混凝土磚,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,0,,0,,,,台東縣,成功鎮,,1397433600000,14020A,,,,1005.8844023806,298.14021506724
379,,五權路,民富路,光復路,2,77.07,22,0,77.07,6,3,0,3,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1571050320000,14020A,否,,,690.1275725134,218.58039112314
380,,太平路,中山東路,民安路,2,31.22,15,0,31.22,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570548300000,14020A,否,,,259.26136791356,74.514382498406
381,,太平路,民安路,民恒路,2,28.28,15,0,28.28,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570548420000,14020A,否,,,312.78128820098,85.814940308277
382,,太平路,民恒路,有恒路,2,25.78,15,0,25.78,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570548540000,14020A,否,,,299.82902196159,81.317100525575
383,,太平路,有恒路,民富路,2,27.11,15,0,27.11,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1570548660000,14020A,否,,,264.47843357322,81.439440472966
384,,民豐街,中山東路,民富路,2,122.81,20,0,122.81,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1571050260000,14020A,否,,,1279.908908868,336.66802295746
385,,民豐街,民恒路,太平路,2,102.71,20,0,102.71,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1571050740000,14020A,否,,,861.7570928125,235.03509320738
386,,民富路,民豐街,五權路,2,187.42,20,0,187.42,5,0,0,2.5,,0,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,成功鎮,,1571050620000,14020A,否,,,1772.1942799472,440.3907637791
387,0010,忠孝路,慶福路,中東二路,1,800,10,7.2,800,2.8,0.4,1.4,1.4,高壓混凝土磚,2256,0,0,0,10,0,0,0,20,28,0,,,,,0,0,,,0,2,,3,台東縣,池上鄉,,1569853560000,14100A,是,1035500030214061070,2014,2891.0876525837,1621.5275079797
388,0010,忠孝路,慶福路,中東二路,2,800,10,7.2,800,2.8,0.4,1.4,1.4,高壓混凝土磚,2256,0,0,0,28,0,0,0,20,28,0,,,,,0,0,,,0,2,,3,台東縣,池上鄉,,1569853560000,14100A,否,,,2891.0876525837,1621.5275079797
389,0010,力行路,力行路70號,力行路88號,1,300,8,6,200,1.4,0,2,1.4,高壓混凝土磚,400,0,0,1,1,0,0,0,4,5,1,,,,,0,0,0,,0,2,,5,台東縣,池上鄉,,1404777600000,14000A,,,,798.85963231133,437.98946399355
390,0010,池富道路,萬安1號,萬安5號,1,210,8,6,210,1.4,0,2,1.4,高壓混凝土磚,420,0,0,0,1,0,0,0,0,4,0,,,,,0,0,0,,0,1,,5,台東縣,池上鄉,,1404777600000,14000A,,,,306.51363303416,424.20517403042
391,0010,三民路,中東一路,靜修路,3,470,8,0,470,8,0,8,8,高壓混凝土磚,3760,0,0,0,0,0,0,0,0,0,0,,,,,0,2,0,,0,2,,1,台東縣,池上鄉,,1404777600000,14000A,,,,1553.1742204636,1001.1064071617
392,0010,中正路,忠孝路,鐵花路,1,250,8,5,500,3,0,1.5,1.5,高壓混凝土磚,750,0,0,0,0,0,0,0,0,N,0,,,,,0,0,0,,0,2,,3,台東縣,池上鄉,,1404777600000,14000A,,,,1048.1005030386,530.06956122693
393,0010,中西三路,文化路,中華路,1,100,12,10,100,2,0,2,2,高壓混凝土磚,200,0,0,0,0,0,0,0,0,4,0,,,,,0,0,0,,0,,,3,台東縣,池上鄉,,1404777600000,14000A,,,,322.20723476583,201.93034646852
394,0010,中華路,中西三路,中西二路,1,230,10,8,230,1.5,0,2,1.5,連鎖磚,460,0,0,0,0,0,0,0,0,N,0,,,,,0,,0,,0,2,,5,台東縣,池上鄉,,1404777600000,14000A,,,,647.32351027717,457.46970170999
395,0010,中西二路,中華路,文田路,1,210,10,10,210,2,0,2,2,PC+高壓磚,420,0,0,0,0,0,0,0,0,2,0,,,,,2,0,0,,0,,,5,台東縣,池上鄉,,1404777600000,14000A,,,,745.54473648846,409.72028779512
396,綠島國中前,人行道,綠島國小,綠島國小,2,139,6,0,97,1.25,0,0,1.25,,152,0,0,0,0,0,0,0,0,N,0,,,,,0,,,,0,,,,台東縣,綠島鄉,,1456971180000,14030A,是,1035500030214111060,2014,405.9761819181,192.63423748403
397,關0001,仁愛路,和平路,中華路,,188,8,0,188,0,0,0,3,,564,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,959.06258476645,387.27091147928
398,關0002,和平路,仁愛路,大安路,,147,15,0,147,0,0,0,3,,441,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,619.10029304348,311.04279907152
399,關0001,仁愛路,和平路,三民路,,188,8,0,188,0,0,0,3,,564,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,863.90690373061,380.06607565886
400,關0003,三民路,仁愛路,大安路,,147,147,0,147,0,0,0,2,,294,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,602.47568619098,317.45132230288
401,關0003,博愛路,火車站,溪埔路,,514,6,0,380,0,0,0,2,,760,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,是,1045500010114031030,2015,1435.3393425123,775.22593548104
402,關0005,博愛路,火車站,隆盛路,,520,8,0,74,0,0,0,2,,148,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,210.67113237594,157.41999640546
403,關0006,三民路,自強路,關關山國中,,1545,11,0,162,0,0,0,2,,486,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,526.1246870882,333.15627768144
404,關0007,自強路,三民路,崁頂路,,415,10,0,185,0,0,0,0.9,,550,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,680.47782637096,399.35159685079
405,關0008,民權路,學東路,水源路,,475,11,0,207,0,0,0,1,,621,0,0,0,0,0,0,0,0,3,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,892.1519132129,434.17509230248
406,關0009,學東路,民權路,民生路,,580,8,0,212,0,0,0,2,,636,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,700.27149044556,428.88850476435
407,關0009,豐隆路人行道,學東路,豐隆路,,184,2,0,184,0,0,0,2,,368,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,787.38200377343,365.15946170279
408,關0010,中正路,民權路,民生路,,630,11,0,230,0,0,0,1,,575,0,0,0,0,0,0,0,0,4,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,838.52019230831,462.25084944915
409,關0011,民權路,中正路,關山幼兒圖,,475,11,0,54,0,0,0,3,,162,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,197.10427332834,116.36089997347
410,關0012,民生路,中正路,學東路,,480,11,0,88,0,0,0,3,,264,0,0,0,0,0,0,0,0,2,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,336.46134537918,183.19384301554
411,關0012,圖書館周邊人行道,中華路,三民路,,290,3,0,290,0,0,0,2,,870,0,0,0,0,0,0,0,0,3,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,1123.7407725564,556.02871021708
412,關0015,大安路,和平路,三民路,,188,8,0,188,0,0,0,2,,376,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,1437.4771343824,417.63918427968
413,關0015,市場南路,和平路,中華路,,88,8,0,6.4,0,0,0,2,,563,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,,,,台東縣,關山鎮,,,,,,,680.48917608474,208.76390902514
414,關0011,忠孝路,三民路,豐田路,1,230,6.4,6.4,230,6.4,6.4,6.4,6.4,高壓混凝土磚,1472,0,9,1,3,0,0,7,0,N,1,,,,,0,2,0,,0,1,1,7,台東縣,關山鎮,1371600000000,1371600000000,14000A,,,,1208.8979385004,465.31985927233
415,關0012,"四維路,中正北路",復興路,忠孝路,2,300,6.4,6.4,300,6.4,6.4,6.4,6.4,高壓混凝土磚,1920,0,6,1,2,0,0,7,0,N,0,,,,,0,2,0,,0,1,1,7,台東縣,關山鎮,,1371600000000,14000A,,,,1766.7930675131,769.93756219368
