OBJECTID,ID,NAME,PSTART,PEND,SW_DIRECT,LENGTH,WIDTH_U,WIDTH_C,SW_LENG,SW_WTH,SWD_WTH,SWT_WTH,SWW_WTH,SW_PAVE,SHAPE_AR,SW_AREA,SW_BK_L,SW_BK_B,SW_BK_E,SW_BK_P,SW_BK_O,SW_HOLE,SW_TREE,SW_RAMP,SW_CARRAMP,BLOK_NAME,ARCADE,AC_EVEN,U_OFFICE,U_WIDTH,BC_PLACE,BC_WIDTH,MEMO,SW_BRKRAT,SW_PAVE_C,SW_PASS,SW_USES,COUNTY_NA,VILL_NAME,KEY_DATE,MOD_DATE,MOD_Account,Egn_YN,Egn_ID,Egn_Year,Shape.STArea(),Shape.STLength()
11377,大庄路-02,大庄路,文化南路,彰南路639巷,1,216.2,23.2,20,208.3,3.2,1,2.2,2,高壓混凝土磚,666.56,0,0,0,0,0,0,0,0,4,0,,否,否,否,0,0,,,0,1,1,3,南投縣,南投市,1446336000000,1447954620000,08000A,是,1035500030208011280,2014,545.52798769097,430.39317569415
11378,育樂路-01,育樂路,信義街,育樂路42巷,1,192.4,17,15,178.1,2,0,1.8,1.8,高壓混凝土磚,356.2,0,0,0,0,0,0,0,0,4,1,0,否,否,是,2,0,,1.平和國小人行道,0,1,1,5,南投縣,南投市,1446336000000,1447955640000,08000A,是,1035500030208011170,2014,468.70070573026,364.38445679859
11379,忠孝路-01,忠孝巷,仁和路,仁愛鄉公所,1,228.9,4.5,4.5,228.9,4.5,0,4.5,2,PC+高壓磚,1030.05,7.5,10,1,0,0,0,0,0,N,0,0,否,否,否,,0,,,0,1,1,3,南投縣,仁愛鄉,1446336000000,1448298660000,08000A,是,1035500030208131260,2014,1214.4542675949,535.91317320548
11380,山農巷-01,山農路,仁和路,仁愛高農,1,396.3,5.5,5.5,389,5.5,0,2,2,PC+高壓磚,2139.5,1.75,7,0,0,0,0,0,0,N,0,0,否,否,否,,0,,,0,1,1,3,南投縣,仁愛鄉,1446336000000,1448299440000,08000A,是,1035500030208131250,2014,2805.4822850156,906.21666709709
21749,,太平路二段,明賢街,中山街,1,103.94,24.32,14.43,72.46,2.1,1,1.1,0.7,磁磚,152.17,0.4,2,1,1,0,0,0,2,2,0,,否,,否,,0,,,1,1,2,1,南投縣,草屯鎮,,1455762600000,08000A,是,106G201020108032040,2017,117.18279000975,149.48544057499
21772,,鹿山路,大智路,鹿山路56巷,1,261.7,8,6,220.1,3,0,3,2,高壓混凝土磚,,,,,,,,,,4,,,否,否,是,3,0,,,0,1,1,5,南投縣,竹山鎮,1464307200000,1464357120000,08000A,是,1045500030208041010,2015,518.57098717761,447.06287898335
21773,,大忠路,大仁路,大明路600巷,1,211.2,12,7,195.2,4,1.5,4,2.5,高壓混凝土磚,,,,,,,,,,4,,,否,否,是,4,0,,,0,1,1,5,南投縣,竹山鎮,1464307200000,1464357360000,08000A,是,1045500030208041190,2015,928.24841304127,409.20537299309
21774,,建國路,南陽路,民生街,2,303.2,12,7,284.1,1.7,0,1.7,1.5,高壓混凝土磚,482.9,0,1,1,0,0,0,0,0,2,0,,否,否,否,,0,,,0,1,1,2,南投縣,南投市,1464307200000,1464358080000,08000A,,,,741.80885230294,570.19231180583
21775,,文獻路,光明路,田園街,1,605.1,12,,600,5,1.5,,3.5,,,,,,,,,,,4,,,否,否,否,,1,,,0,2,1,6,南投縣,南投市,,1464358920000,08000A,,,,2852.5783809417,1286.4808782224
21916,,文獻路,中興路,光明一路,1,601.6,12,10,578.5,4,1.5,2.5,2.5,高壓混凝土磚,2892.5,6,3,0,0,0,0,0,0,4,0,0,否,否,否,,1,1.5,,0,1,1,7,南投縣,南投市,1464739200000,1467210000000,08000A,,,,5357.1134391982,1187.2148918588
